uuid,name,title,description,status,created_at
550e8400-e29b-41d4-a716-446655440001,aggregators,애그리게이터,단일 MCP 서버를 통해 많은 앱과 도구에 접근하기 위한 서버입니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440002,browser-automation,브라우저 자동화,웹 콘텐츠 접근 및 자동화 기능. AI 친화적인 형식으로 웹 콘텐츠 검색 스크래핑 및 처리를 가능하게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440003,art-and-culture,예술 및 문화,예술 컬렉션 문화 유산 및 박물관 데이터베이스에 접근하고 탐색합니다. AI 모델이 예술 및 문화 콘텐츠를 검색하고 분석할 수 있게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440004,cloud-platforms,클라우드 플랫폼,클라우드 플랫폼 서비스 통합. 클라우드 인프라 및 서비스의 관리 및 상호 작용을 가능하게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440005,command-line,커맨드 라인,명령을 실행하고 출력을 캡처하며 셸 및 커맨드 라인 도구와 상호 작용합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440006,communication,커뮤니케이션,메시지 관리 및 채널 운영을 위한 커뮤니케이션 플랫폼과의 통합. AI 모델이 팀 커뮤니케이션 도구와 상호 작용할 수 있게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440007,customer-data-platforms,고객 데이터 플랫폼,고객 데이터 플랫폼 내의 고객 프로필에 대한 접근을 제공합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440008,databases,데이터베이스,스키마 검사 기능을 갖춘 안전한 데이터베이스 접근. 읽기 전용 접근을 포함한 구성 가능한 보안 제어로 데이터 쿼리 및 분석을 가능하게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440009,data-platforms,데이터 플랫폼,데이터 통합 변환 및 파이프라인 오케스트레이션을 위한 데이터 플랫폼.,created,NOW()
550e8400-e29b-41d4-a716-446655440010,developer-tools,개발자 도구,개발 워크플로우 및 환경 관리를 향상시키는 도구 및 통합.,created,NOW()
550e8400-e29b-41d4-a716-446655440011,data-science-tools,데이터 과학 도구,데이터 탐색 분석을 단순화하고 데이터 과학 워크플로우를 향상시키기 위해 설계된 통합 및 도구.,created,NOW()
550e8400-e29b-41d4-a716-446655440012,file-systems,파일 시스템,구성 가능한 권한으로 로컬 파일 시스템에 직접 접근을 제공합니다. AI 모델이 지정된 디렉토리 내에서 파일을 읽고 쓰고 관리할 수 있게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440013,finance-fintech,금융 및 핀테크,금융 데이터 접근 및 암호화폐 시장 정보. 실시간 시장 데이터 암호화폐 가격 및 금융 분석 쿼리를 가능하게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440014,gaming,게임,게임 관련 데이터 게임 엔진 및 서비스와의 통합,created,NOW()
550e8400-e29b-41d4-a716-446655440015,knowledge-memory,지식 및 메모리,지식 그래프 구조를 사용한 영구 메모리 저장. AI 모델이 세션 간에 구조화된 정보를 유지하고 쿼리할 수 있게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440016,location-services,위치 서비스,지리 및 위치 기반 서비스 통합. 지도 데이터 길찾기 및 장소 정보에 대한 접근을 가능하게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440017,marketing,마케팅,마케팅 콘텐츠 생성 및 편집 웹 메타 데이터 작업 제품 포지셔닝 및 편집 가이드 작업을 위한 도구.,created,NOW()
550e8400-e29b-41d4-a716-446655440018,monitoring,모니터링,애플리케이션 모니터링 데이터 접근 및 분석. AI 모델이 오류 보고서 및 성능 지표를 검토할 수 있게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440019,search,검색,웹 검색 및 정보 검색 기능을 제공합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440020,security,보안,보안 도구 및 취약점 분석 기능을 제공합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440021,sports,스포츠,스포츠 관련 데이터 결과 및 통계에 접근하기 위한 도구.,created,NOW()
550e8400-e29b-41d4-a716-446655440022,translation-services,번역 서비스,AI 어시스턴트가 다양한 언어 간에 콘텐츠를 번역할 수 있게 해주는 번역 도구 및 서비스.,created,NOW()
550e8400-e29b-41d4-a716-446655440023,travel-and-transportation,여행 및 교통,여행 및 교통 정보 접근. 일정 경로 및 실시간 여행 데이터 쿼리를 가능하게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440024,version-control,버전 관리,Git 리포지토리 및 버전 관리 플랫폼과 상호 작용합니다. 표준화된 API를 통해 리포지토리 관리 코드 분석 풀 리퀘스트 처리 이슈 추적 및 기타 버전 관리 작업을 가능하게 합니다.,created,NOW()
550e8400-e29b-41d4-a716-446655440025,other-tools-and-integrations,기타 도구 및 통합,기타 다양한 도구 및 서비스 통합을 제공합니다.,created,NOW() 